driver_name,code,driver_nat,circuitRef,year,round,starting_pos,finishing_pos,laps,quali_mean,driver_age,driver_dnf,car_dnf
McLaren,ALO,Spanish,albert_park,2016.0,1.0,11.0,21.0,16.0,86.331,35.0,1,0
McLaren,ALO,Spanish,albert_park,2017.0,1.0,12.0,14.0,50.0,85.6485,36.0,0,1
McLaren,ALO,Spanish,albert_park,2018.0,1.0,10.0,5.0,58.0,83.6445,37.0,0,0
McLaren,ALO,Spanish,sepang,2015.0,2.0,18.0,18.0,21.0,101.746,34.0,0,1
McLaren,ALO,Spanish,sepang,2016.0,16.0,22.0,7.0,56.0,97.155,35.0,0,0
McLaren,ALO,Spanish,sepang,2017.0,15.0,10.0,11.0,55.0,92.25433333333335,36.0,0,0
McLaren,ALO,Spanish,bahrain,2015.0,4.0,14.0,11.0,56.0,95.122,34.0,0,0
McLaren,ALO,Spanish,bahrain,2017.0,3.0,15.0,14.0,54.0,92.054,36.0,0,1
McLaren,ALO,Spanish,bahrain,2018.0,2.0,13.0,7.0,56.0,90.37100000000001,37.0,0,0
McLaren,ALO,Spanish,catalunya,2015.0,5.0,13.0,20.0,26.0,87.85050000000001,34.0,0,1
McLaren,ALO,Spanish,catalunya,2016.0,5.0,10.0,19.0,45.0,84.25033333333333,35.0,0,1
McLaren,ALO,Spanish,catalunya,2017.0,5.0,7.0,12.0,64.0,81.438,36.0,0,0
McLaren,ALO,Spanish,catalunya,2018.0,5.0,8.0,8.0,65.0,78.03233333333333,37.0,0,0
McLaren,ALO,Spanish,monaco,2015.0,6.0,13.0,19.0,41.0,82.20500000000001,34.0,0,1
McLaren,ALO,Spanish,monaco,2016.0,6.0,9.0,5.0,78.0,75.32466666666666,35.0,0,0
McLaren,ALO,Spanish,monaco,2018.0,6.0,7.0,20.0,52.0,72.34533333333333,37.0,0,1
McLaren,ALO,Spanish,villeneuve,2015.0,7.0,13.0,20.0,44.0,76.644,34.0,0,1
McLaren,ALO,Spanish,villeneuve,2016.0,7.0,10.0,11.0,69.0,74.54133333333333,35.0,0,0
McLaren,ALO,Spanish,villeneuve,2017.0,7.0,12.0,16.0,66.0,73.681,36.0,0,1
McLaren,ALO,Spanish,villeneuve,2018.0,7.0,14.0,18.0,40.0,72.91749999999999,37.0,0,1
McLaren,ALO,Spanish,silverstone,2015.0,9.0,17.0,10.0,51.0,94.959,34.0,0,0
McLaren,ALO,Spanish,silverstone,2016.0,10.0,9.0,13.0,51.0,92.12133333333334,35.0,0,0
McLaren,ALO,Spanish,silverstone,2017.0,10.0,20.0,18.0,32.0,94.09899999999999,36.0,0,1
McLaren,ALO,Spanish,silverstone,2018.0,10.0,13.0,8.0,52.0,88.163,37.0,0,0
McLaren,ALO,Spanish,hockenheimring,2016.0,12.0,13.0,12.0,66.0,76.1895,35.0,0,0
McLaren,ALO,Spanish,hockenheimring,2018.0,11.0,11.0,16.0,65.0,73.63550000000001,37.0,0,1
McLaren,ALO,Spanish,hungaroring,2015.0,10.0,15.0,5.0,69.0,84.563,34.0,0,0
McLaren,ALO,Spanish,hungaroring,2016.0,11.0,7.0,7.0,69.0,86.73066666666666,35.0,0,0
McLaren,ALO,Spanish,hungaroring,2017.0,11.0,7.0,6.0,70.0,77.95433333333334,36.0,0,0
McLaren,ALO,Spanish,hungaroring,2018.0,12.0,11.0,8.0,69.0,86.711,37.0,0,0
